Timestamp,RSSI,Link Quality,Ping Delay,label
2025-04-14 07:10:14,-53,57,6.4,0
2025-04-14 07:10:24,-49,61,2.75,0
2025-04-14 07:10:34,-49,61,4.93,0
2025-04-14 07:10:44,-52,58,3.1,0
2025-04-14 07:10:54,-50,60,5.78,0
2025-04-14 07:11:04,-50,60,6.57,0
2025-04-14 07:11:14,-51,59,3.03,0
2025-04-14 07:11:24,-50,60,2.81,0
2025-04-14 07:11:34,-50,60,4.95,0
2025-04-14 07:11:44,-50,60,3.79,0
2025-04-14 07:11:54,-50,60,3.92,0
2025-04-14 07:12:04,-50,60,4.39,0
2025-04-14 07:12:14,-51,59,4.09,0
2025-04-14 07:12:24,-51,59,3.99,0
2025-04-14 07:12:34,-50,60,4.14,0
2025-04-14 07:12:44,-50,60,4.41,0
2025-04-14 07:12:54,-50,60,4.1,0
2025-04-14 07:13:04,-50,60,3.34,0
2025-04-14 07:13:14,-52,58,3.13,0
2025-04-14 07:13:24,-51,59,4.47,0
2025-04-14 07:13:34,-53,57,3.43,0
2025-04-14 07:13:44,-50,60,4.35,0
2025-04-14 07:13:54,-51,59,4.46,0
2025-04-14 07:14:04,-50,60,35.7,0
2025-04-14 07:14:14,-51,59,4.57,0
2025-04-14 07:14:24,-51,59,5.56,0
2025-04-14 07:14:34,-49,61,3.44,0
2025-04-14 07:14:44,-50,60,4.73,0
2025-04-14 07:14:54,-51,59,3.35,0
2025-04-14 07:15:04,-50,60,5.35,0
2025-04-14 07:15:14,-51,59,4.45,0
2025-04-14 07:15:24,-51,59,3.51,0
2025-04-14 07:15:34,-51,59,3.53,0
2025-04-14 07:15:44,-51,59,3.26,0
2025-04-14 07:15:54,-51,59,4.15,0
2025-04-14 07:16:04,-51,59,3.24,0
2025-04-14 07:16:15,-50,60,4.23,0
2025-04-14 07:16:25,-50,60,7.38,0
2025-04-14 07:16:35,-50,60,4.4,0
2025-04-14 07:16:45,-50,60,4.37,0
2025-04-14 07:16:55,-50,60,3.38,0
2025-04-14 07:17:05,-50,60,2.85,0
2025-04-14 07:17:15,-50,60,4.49,0
2025-04-14 07:17:25,-51,59,4.05,0
2025-04-14 07:17:35,-50,60,4.32,0
2025-04-14 07:17:45,-50,60,6.59,0
2025-04-14 07:17:55,-50,60,3.8,0
2025-04-14 07:18:05,-50,60,12.8,0
2025-04-14 07:18:15,-50,60,7.15,0
2025-04-14 07:18:25,-50,60,3.98,0
2025-04-14 07:18:35,-50,60,3.95,0
2025-04-14 07:18:45,-50,60,3.93,0
2025-04-14 07:18:55,-50,60,4.19,0
2025-04-14 07:19:05,-50,60,7.87,0
2025-04-14 07:19:15,-50,60,4.42,0
2025-04-14 07:19:25,-51,59,3.89,0
2025-04-14 07:19:35,-50,60,4.08,0
2025-04-14 07:19:45,-50,60,4.62,0
2025-04-14 07:19:55,-50,60,7.97,0
2025-04-14 07:20:05,-50,60,5.83,0
2025-04-14 07:20:15,-50,60,3.26,0
2025-04-14 07:20:25,-52,58,3.26,0
2025-04-14 07:20:35,-50,60,3.41,0
2025-04-14 07:20:45,-50,60,4.11,0
2025-04-14 07:20:55,-50,60,2.97,0
2025-04-14 07:21:05,-50,60,4.08,0
2025-04-14 07:21:15,-50,60,3.93,0
2025-04-14 07:21:25,-50,60,2.99,0
2025-04-14 07:21:35,-50,60,3.01,0
2025-04-14 07:21:45,-50,60,4.17,0
2025-04-14 07:21:55,-50,60,4.36,0
2025-04-14 07:22:05,-50,60,4.89,0
2025-04-14 07:22:15,-50,60,3.35,0
